dataset,display_name,original_choices_or_classes,task_type,probe_label_space,n_examples,weak_accuracy,median_confidence,high_confidence_mass_gt_0_90,spread_q90_q10,skew_bucket
amazon_polarity,Amazon,2,sentiment classification,binary,1000,0.894,0.997,0.795,0.384,very skewed/high-confidence
sst2,SST-2,2,sentiment classification,binary,856,0.842,0.977,0.681,0.548,very skewed/high-confidence
twitter-sentiment,Twitter Sentiment,2,tweet sentiment classification,binary,1000,0.768,0.908,0.526,0.706,very skewed/high-confidence
boolq,BoolQ,2,binary yes/no QA,binary,1000,0.620,0.757,0.319,0.810,moderately skewed or mixed
wic,WiC,2,word-in-context meaning match,binary,638,0.582,0.694,0.290,0.818,moderately skewed or mixed
cola,CoLA,2,linguistic acceptability,binary,644,0.626,0.701,0.269,0.853,moderately skewed or mixed
anli-r2,ANLI-R2,3,NLI entailment/neutral/contradiction,binary entailment-vs-rest in our probe,668,0.506,0.703,0.256,0.827,moderately skewed or mixed
sciq,SciQ,4,multiple-choice science QA,binary candidate correctness,982,0.621,0.660,0.224,0.826,healthier / less skewed
paws,PAWS,2,paraphrase/equivalence classification,binary,1000,0.634,0.607,0.177,0.823,healthier / less skewed
dream,Dream,3,multiple-choice dialogue QA,binary candidate correctness,1000,0.631,0.559,0.130,0.800,healthier / less skewed
hellaswag,HellaSwag,4,multiple-choice continuation,binary candidate correctness,1000,0.504,0.358,0.031,0.691,low-confidence / weak probe near chance
